,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
17,"Jack Swigert's work location is Washington, D.C.",An astronaut's work location is in the United States,Whose work location is in the United States?,What is the relationship between an astronaut and the United States?,Where is an astronaut's work location?,Astronaut
18,Bill Anders has works in the collection of the Photography Collection of the New York Public Library.,New York Public Library.,New York Public Library.,New York Public Library.,New York Public Library.,Astronaut
19,Bill Anders has works in the collection of the Photography Collection of the New York Public Library.,An astronaut has works in public libraries.,Who has works in public libraries?,What is the relationship between an astronaut and public libraries?,Where has an astronaut works?,Astronaut
20,The Smurfs are the media franchise of Astro Smurf.,A franchise is the media franchise of a fictional character.,What fictional character has a franchise?,What is the relation between a fictional character and a franchise?,What franchise does a fictional character have?,Astronaut
21,The Smurfs are the media franchise of Astro Smurf.,A comic is the media franchise of a smurfs character.,What is the media franchise of a smurfs character?,What is the relationship between a comic and a smurfs character?,What is the media franchise of a comic?,Astronaut
22,Sergey Moshchenko's sport is skydiving.,A person's sport is a sport.,What person's sport is a sport?,What is the relation between a person and a sport?,What sport does a person play?,Astronaut
23,Sergey Moshchenko's sport is skydiving.,An astronaut's sport is an extreme sport,Whose is an extreme sport?,What is the relationship between an astronaut and an extreme sport?,What is an astronaut's sport?,Astronaut
24,Yuri Gagarin's residence was in the Soviet Union.,A person's residence is in a country.,What person's residence is in a country?,What is the relation between a person and a country?,What country is a person's residence?,Astronaut
25,Yuri Gagarin's residence was in the Soviet Union.,An astronaut's residence was in Northern Asia.,Whose residency was in Northern Asia?,What was the relationship between an astronaut and Northern Asia?,Where was an astronaut's residency?,Astronaut
26,Alexey Gagarin is the father of Yuri Gagarin.,A person is the father of a person.,What person has a father?,What is the relation between two people?,What is the father of a person?,Astronaut
27,Alexey Gagarin is the father of Yuri Gagarin.,Alexey Gagarin is the father of a cosmonaut.,Who is the father of a cosmonaut?,What is the relationship between Alexey Gagarin and a cosmonaut?,Whose father is Alexey Gagarin?,Astronaut
28,Garrett Reisman's doctoral advisor was Christopher E. Brennen.,A person's doctoral advisor is a person.,What person's doctoral advisor is a person?,What is the relation between two people?,What person is a doctoral advisor of a person?,Astronaut
29,Garrett Reisman's doctoral advisor was Christopher E. Brennen.,An astronaut's doctoral advisor was an engineering professor.,Whose doctoral advisor was an engineering professor?,What is the relationship between an astronaut and an engineering professor?,Who is an astronaut's medical advisor?,Astronaut
30,Cosmo the Spacedog is different from Cosmo.,A fictional character is different from a fictional character.,What fictional character is different from a fictional character?,What is the relation between two fictional characters?,What fictional character is different from a fictional character?,Astronaut
31,Cosmo the Spacedog is different from Cosmo.,A comic character is different from a fictional character.,Who is different from a fictional character?,What is the relationship between a comic character and a fictional character?,Who is different from a comic character?,Astronaut
32,Pete Conrad has 4 children.,A person has a number of children.,What person has a number of children?,What is the relation between a person and a number of children?,How many children does a person have?,Astronaut
33,Pete Conrad has 4 children.,An astronaut has 4 children.,Who has 4 children?,What is the relationship between an astronaut and 4 children? ,What an astronaut has?,Astronaut
34,Evil-Lyn has a superhuman feature or ability called necromancy.,A fictional character has a superhuman feature of ability.,What fictional character has a superhuman feature or ability?,What is the relation between a fictional character and a superhuman feature or ability?,What superhuman feature or ability does a fictional character have?,Astronaut
35,Evil-Lyn has a superhuman feature or ability called necromancy.,A fictional character has a superhuman feature or ability called magic ,Who has a superhuman feature or ability called magic?,What is the relationship between a fictional character and a superhuman feature or ability called magic? ,What superhuman feature or ability has a fictional character? ,Astronaut
36,Soichi Noguchi is a dish from the ethnic group of Japanese people.,-,-,-,-,Astronaut
37,Soichi Noguchi is a dish from the ethnic group of Japanese people.,An astronaut's name is a dish from the ethnic group of Japan,Whose name is a dish from the ethnic group of Japan?,What is the relationship between an astronaut and Japan? and ,Whose ethnic group's dish has an astronaut's name? ,Astronaut
38,Steven Taylor performs with Peter Purves.,A fictional character performs with a person.,What fictional character performs with a person?,What is the relation between a fictional character and a person?,What person does a fictional character perform with?,Astronaut
39,Steven Taylor performs with Peter Purves.,A fictional character performs with an actor.,Who performs with an actor?,What is the relationship between a fictional character and an actor?,Who performs with an actor?,Astronaut
40,Luca Parmitano's birth name is Luca Salvo Parmitano.,A person's birth name is a name.,What person's birthname is a name?,What is the relation between a person and a name?,What is the birth name of a person?,Astronaut
41,Luca Parmitano's birth name is Luca Salvo Parmitano.,An astronaut's birth name is Luca Salvo Parmitano.,Whose birth name is Luca Salvo Parmitano?,What is the relationship between an astronaut and Luca Salvo Parmitano?,What is an astronaut's birth name?,Astronaut
42,Void is from the narrative universe Wildstorm Universe.,A fictional character is from a fictional universe.,What fictional character is from a fictional universe?,What is the relation between a fictional character and a fictional universe?,What fictional universe is a fictional character from?,Astronaut
43,Void is from the narrative universe Wildstorm Universe.,A comic is from the narrative of a fictional universe.,What is from the narrative of a fictional universe?,What is the relationship between a comic and a fictional universe?,Where comes the narrative of a comic?,Astronaut
44,She-Hulk is the spouse of John Jameson.,A person is the spouse of a person?,What person's spouse is a person?,What is the relation between two people?,Who is the spouse of a person?,Astronaut
45,She-Hulk is the spouse of John Jameson.,A fictional character is the spouse of a fictional character.,Who is the spouse of a fictional character?,What is the relationship between a fictional character and a fictional character?,Whose spouse is a fictional character?,Astronaut
46,"Фаткуллин, Марс Нургалиевич has an academic degree of Doctor of Sciences in Physics and Mathematics.",A person has an academic degree.,in Physics and Mathematics.,What is the relation between a person and an academic degree?,What academic degree does a person have?,Astronaut
47,"Фаткуллин, Марс Нургалиевич has an academic degree of Doctor of Sciences in Physics and Mathematics.",An astronaut has an academic degree of higher education.,Who has an academic degree of higher educational?,What is the relationship between an astronaut and higher education?,What academic degree has an astronaut?,Astronaut
48,Harrison Schmitt's significant event was the walk on the Moon.,A person's significant event was an event.,What person's significant event was an event?,What is the relation between a person and an event?,What is a significant event of a person?,Astronaut
49,Harrison Schmitt's significant event was the walk on the Moon.,An astronaut's significant event was walking in space.,Whose significant event was walking in space?,What is the relationship between an astronaut and walking in space?,What is a significant event for an astronaut?,Astronaut
50,Buzz Lightyear was created by Pete Docter.,A fictional character was created by a person.,What fictional character was created by a person?,What is the relation between a fictional character and a person?,What person created fictional character?,Astronaut
51,Buzz Lightyear was created by Pete Docter.,A fictional character was created by a film director.,Who was created by a film director?,What is the relationship between a fictional character and a film director?,Who created a fictional character?,Astronaut
52,Leonid Kizim's allegiance is to Russia.,A person's allegiance is to a country.,What person's allegiance is to a country?,What is the relation between a person and a country?,What country is a person's allegiance?,Astronaut
53,Leonid Kizim's allegiance is to Russia.,A cosmonaut's allegiance is to Northern Asia.,Whose allegiance is to Northern Asia?,What is the relationship between a cosmonaut and Northern Asia?,Where is an astronaut allegiance to?,Astronaut
54,John L Finley died of natural causes.,A person died of a cause.,What person dies of a cause?,What is the relation between a person and a cause?,What cause did a person die of?,Astronaut
55,John L Finley died of natural causes.,An astronaut died of a cause.,Who died of a cause?,What is the relationship between an astronaut and cause of death?,What an astronaut died of?,Astronaut
56,Christa McAuliffe's burial place is Arlington National Cemetery.,A person's burial place is a cemetery.,What person's burial place is a cemetery?,What is the relation between a person and a cemetery?,What cemetery is a person's burial place?,Astronaut
57,Christa McAuliffe's burial place is Arlington National Cemetery.,An astronaut's burial place is a military cemetery.,Whose burial place is a military cemetery?,What is the relationship between an astronaut and a military cemetery? ,Where is an astronaut's burial place?,Astronaut
58,Gus Grissom died from a smoke inhalation injury.,A person died of a cause.,What person died of a cause?,What is the relation between a person and a cause?,What did a person die from?,Astronaut
59,Gus Grissom died from a smoke inhalation injury.,An astronaut died from a cause of death?,Who died from a cause of death?,What is the relationshipo between an astronaut and a cause of death?,What an astronaut died of?,Astronaut
60,Buzz Aldrin is a member of the Republican Party.,A person is a member of a political party.,What person is a member of a political party?,What is the relation between a person and a political party?,What political party is a person a member of?,Astronaut
61,Buzz Aldrin is a member of the Republican Party.,An astronaut is a member of a political party?,Who is a member of a political party?,What is the relationship of an astronaut and a political party?,Where is an astronaut member?,Astronaut
62,Roman Romanenko's native language is Russian.,A person's native language is a language.,What person's native language is a language?,What is the relation between a person and a language?,What language is a person's native language?,Astronaut
63,Roman Romanenko's native language is Russian.,A cosmonaut's native language is a Slavic language.,Whose native language is a Slavic language?,What is the relationship between a cosmonaut and a Slavic language?,What is the language of a cosmonaut?,Astronaut
64,Steven Taylor is in Doctor Who.,A fictional character is in a TV series.,What fictional character is in a TV series?,What is the relation between a fictional character and a TV series?,What TV series is a fictional character in?,Astronaut
65,Steven Taylor is in Doctor Who.,A fictional character is in a fiction TV series.,Who is in a fiction TV series?,What is the relationship between a fictional character and a fiction TV series?,Where is a fictional character in?,Astronaut
66,"Marcos Pontes is the Minister of Science, Technology, Innovations and Communications.",A person is a minister.,What person is a minister?,What is the relation between a person and a ministry?,What ministry is a person a minister of?,Astronaut
67,"Marcos Pontes is the Minister of Science, Technology, Innovations and Communications.",An astronaut is a Minister. ,Who is a Minister?,What is the relationship between an astronaut and a Minister?,What is an astronaut?,Astronaut
68,Vladislav Volkov is described by source in the Armenian Soviet Encyclopedia.,A person is described by source in an encyclopedia.,What person is described by source in an encyclopedia?,What is the relation between a person and an encyclopedia?,What encyclopedia is a person described by?,Astronaut
69,Vladislav Volkov is described by source in the Armenian Soviet Encyclopedia.,A cosmonaut is described by source in an encyclopedia,Who is described by source in an encyclopedia?,What is the relationship of a cosmonaut and an encyclopedia?,Where is an astronaut described by source?,Astronaut
70,Warren Hoburg is a member of the NASA Astronaut Group 22.,A person is a member of an article.,What person is a member of an article?,What is the relation between a person and an article?,What article is a person a member of?,Astronaut
71,Warren Hoburg is a member of the NASA Astronaut Group 22.,An astronaut candidate is a member of a list article?,Who is a member of a list article?,What is the relationship between an astronaut candidate and a list article?,Where is an astronaut candidate a member?,Astronaut
72,Charles Bassett died in St. Louis.,A person died in a city.,What person died in city?,What is the relation between a person and a city?,What city did a person die in?,Astronaut
73,Charles Bassett died in St. Louis.,An astronaut died in the United States.,Who died in the United States?,What is the relationship between an astronaut and the United States?,Where an astronaut died?,Astronaut
74,John L Finley died on 19/09/2006.,A person died on a time.,What person died on a time?,What is the relation between a person and a time?,What time did a person die on?,Astronaut
75,John L Finley died on 19/09/2006.,An astronaut died on 19/09/2006.,Who died on 19/09/2006?,What is the relationship between an astronaut and 19/09/2006?,When an astronaut died?,Astronaut
76,Akihiko Hoshide's name in the native language is 星出彰彦.,A person's name in the native language is a name.,What person's name in the native language is a name?,What is the relation between a person and a name?,What is the name in the native language of a person?,Astronaut
77,Akihiko Hoshide's name in the native language is 星出彰彦.,An astronaut's name in the native language is 星出彰彦. ,Whose name in the An astronaut's name in the language is 星出彰彦? ,What is the relationship between an astronaut and 星出彰彦? ,What is an astronaut's name in a native language?,Astronaut
78,Alexander Gerst has 1240340 followers on social media.,A person has a number of followers on social media.,What person has a number of followers in social media?,What is the relation between a person and a number of followers on social media?,How many followers does a person have on social media?,Astronaut
79,Alexander Gerst has 1240340 followers on social media.,An astronaut has 1240340 followers on social media.,Who has 1240340 followers on social media?,What is the relationship between an astronaut and 1240340?,How many followers has an astronaut on social media?,Astronaut
80,André Kuipers is a member of the crew of the Soyuz TMA-03M.,A person is a member of the crew of a mission.,What person is a member of a crew of a mission?,What is the relation between a person and a mission?,What mission is a person a member of the crew of?,Astronaut
81,André Kuipers is a member of the crew of the Soyuz TMA-03M.,is a member of the crew of the Soyuz TMA-03M.,Who is a member of the crew of the Soyuz TMA-03M?,What is the relationship between an astronaut and Soyuz TMA-03M? ,Where is an astronaut a crew member?,Astronaut
82,Charles Bassett is a member of the United States Air Force.,A person is a member of an army.,What person is a member of an army?,What is the relation between a person and an army?,What army is a person a member of?,Astronaut
83,Charles Bassett is a member of the United States Air Force.,An astronaut is a member of the armed forces.,Whose is a member of the armed forces?,What is the relationship between an astronaut and the arm forces.,Where is an astronaut a member?,Astronaut
84,Soichi Noguchi is part of NASA Astronaut Group 16.,A person is part of a group.,What person is part of a group?,What is the relation between a person and a group?,What group is a person a part of?,Astronaut
85,Soichi Noguchi is part of NASA Astronaut Group 16.,An astronaut is part of a list article.,Who is part of a list article?,What is the relationship between an astronaut and a list article?,Where is an astronaut part?,Astronaut
86,"Christa McAuliffe speaks, writes or signed English.","A person speaks, writes or signs a language.","What person speaks, writes or signs a language?",What is the relation between a person and a language?,"What language does a person speak, write or sign?",Astronaut
87,"Christa McAuliffe speaks, writes or signed English.","An astronaut speaks, writes or signs in a Germanic language.","Who speaks, writes or signs in a Germanic language?",What is the relationship between an astronaut and a Germanic Language?,"In which language does an astronaut speak, write or sign?",Astronaut
88,Aleksandr Samokutyayev is a colonel.,A person has a military rank.,What person has a military rank?,What is the relation between a person and a military rank?,What military rank does a person have?,Astronaut
89,Aleksandr Samokutyayev is a colonel.,A cosmonaut is militarian.,Who is a militarian?,What is the relationship between a cosmonaut and a militarian?,What is a cosmonaut?,Astronaut
90,Stucky is the family name of Mark P. Stucky.,A name is the family name of a person.,What person's family name is a name?,What is the relation between a person and a name?,What is the family name of a person?,Astronaut
91,Stucky is the family name of Mark P. Stucky.,An astronauts's family name is Stucky.,Whose name is Stucky?,What is the relationship between an astronaut and Stucky?,What is an astronaut's family name?,Astronaut
92,Harrison Schmitt worked for NASA.,A person worked for an agency.,What person worked for an agency?,What is the relation between a person and an agency?,What agency did a person work for?,Astronaut
93,Harrison Schmitt worked for NASA.,An astronaut worked for a governmental agency.,Who is working for a governmental agency?,What is the relationship between an astronaut and a governmental agency?,For whom an astronaut worked?,Astronaut
94,Pete Conrad spent 70778 minutes in space.,A person spent a number of minutes in space.,What person spent a number of minutes in space?,What is the relation between a person and a number of minutes in space?,How many minutes in space did a person spent?,Astronaut
95,Pete Conrad spent 70778 minutes in space.,An astronaut spent a few minutes in space.,Who spent a few minutes in space? ,What is the relationship between an astronaut and minutes in space?,What spent an astronaut in space?,Astronaut
96,André Kuipers was born in Amsterdam.,A person is born in a city.,What person is born in a city?,What is the relation between a person and a city?,What city is a person born in?,Astronaut
97,André Kuipers was born in Amsterdam.,An astronaut was born in the Netherlands.,Who was born in the Netherlands?,What is the relationship between an astronaut and the Netherlands?,Where was an astronaut born?,Astronaut
98,Charles Bassett was born on 30/12/1931.,A person was born on a time.,What person was born on a time?,What is the relation between a person and a time?,What time was a person born in?,Astronaut
99,Charles Bassett was born on 30/12/1931.,An astronaut was born on 30/12/1931.,Who was born on 30/12/1931?,What is the relationship between an astronaut and 30/12/1931?,When was an astronaut born?,Astronaut
100,Marc Garneau's given name is Marc.,A person's given name is a name.,What person's given name is a name?,What is the relation between a person and a name?,What is a person's given name?,Astronaut
101,Marc Garneau's given name is Marc.,An astronaut's given name is a male name.,Whose name is a male name?,What is the relationship between an astronaut and a male name?,What is the name of an astronaut?,Astronaut
102,Reinhold Ewald's country of citizenship is Germany.,A person's country of citizenship is a country.,What person's country of citizenship is a country?,What is the relation between a person and a country?,What country is the country of citizenship of a person?,Astronaut
103,Reinhold Ewald's country of citizenship is Germany.,An astronaut's country of citizenship is in central Europe.,Whose country of citizenship is in central Europe?,What is the relationship between an astronaut and central Europe?,What is an astronaut's citizenship?,Astronaut
104,Billy Bones has a sex or gender of male.,A person has a sex or gender of gender.,What person has a sex or gender?,What is the relation between a person and sex or gender?,What sex or gender does a person have?,Astronaut
105,Billy Bones has a sex or gender of male.,A cartoon character has a sex or gender of male.,Who has a sex or gender as a male?,What is the relationship between a cartoon character and a male?,What is the sex or gender of a cartoon character?,Astronaut
106,Jerry L. Ross was educated at the U.S. Air Force Test Pilot School., A person is educated at a school.,What person is educated at a school?,What is the relation between a person and a school?,What school is a person educated at?,Astronaut
107,Jerry L. Ross was educated at the U.S. Air Force Test Pilot School.,An astronaut was educated at the flight training school.,Who was educated at the flight training school?,What is the relationship between an astronaut and the flight training school?,Where was an astronaut educated?,Astronaut
108,Vyacheslav Zudov's astronaut mission was Soyuz 23.,A person's astronaut mission is a mission.,What person's astronaut mission is a mission?,What is the relation between a person and a mission?,What mission is a person's astronaut mission?,Astronaut
109,Vyacheslav Zudov's astronaut mission was Soyuz 23.,A cosmonaut's mission was to be the crew on the flight?,Who has a mission to be the crew on the flight?,What is the relationship between an astronaut and a flight?,What is the mission of an astronaut?,Astronaut
110,Joseph R. Tanner was an aircraft pilot.,A person is a pilot.,What person is a pilot?,What is the relation between a person and a pilot?,What pilot is a person?,Astronaut
111,Joseph R. Tanner was an aircraft pilot.,An astronaut was pilot.,Who was a pilot?,What is the relationship between an astronaut and a pilot?,What was an astronaut?,Astronaut
112,"Lev Dyomin was awarded the Medal ""For the Development of Virgin Lands"".",A person is awarded a medal.,What person is awarded a medal?,What is the relation between a person and a medal?,What medal is a person awarded?,Astronaut
113,"Lev Dyomin was awarded the Medal ""For the Development of Virgin Lands"".","A cosmonaut was awarded the Medal ""For the Development of Virgin Lands"".","Who was awarded Medal ""For the Development of Virgin Lands""?","What is the relationship between a cosmonaut and the Medal ""For the Development of Virgin Lands""?",What was the award for an astronaut?,Astronaut
114,Jonathan Sigalet has 4 penalty minutes in his career.,Canadian ice hockey player has 4 penalty minutes in his career.,Who has 4 penalty minutes in his career?,What does Canadian ice hockey player do with 4 penalty minutes in his career?,how many  penalty minutes does Canadian ice hockey player have in his career?,Athlete
115,Jonathan Sigalet has 4 penalty minutes in his career.,The canadian ice hockey player has some penalty minutes in his career,Who has some penalty minutes in his career,Which is the relation between the canadian ice hockey player and the penalties ,How many penalty minutes does the canadian ice hockey player has?,Athlete
116,Gerald Heffernan has 35 assists in his career.,Canadian ice hockey player has 35 assists in his career.,Who has 35 assists in his career?,What does Canadian ice hockey player have to do with 35 assists in his career?,How many assists does Canadian ice hockey player have in his career?,Athlete
117,Gerald Heffernan has 35 assists in his career.,The canadian ice hockey player has a lot of assists in his career,Who has a lot of assists in his career?,Which is the relation between the canadian ice hockey player and the assists? ,How many assists does the canadian ice hockey player has in his career?,Athlete
118,Lloyd Jordan was involved in the World War II.,"American football player and coach, basketball coach (1900-1990) was involved in 1939–1945 global war between the Allied and Axis Powers.",Who was involved in 1939–1945 global war between the Allied and Axis Powers?,"What is the connection between American football player and coach, basketball coach (1900-1990) and the 1939–1945 global war between the Allied and Axis Powers?","Where was American football player and coach, basketball coach (1900-1990) involved in?",Athlete
119,Lloyd Jordan was involved in the World War II.,The sport player was involved in a war,Who was involved in a war?,What did a sport players do in a war?,Where was the sport player involved in?,Athlete
120,Zach Trotman has 13 career points.,American ice hockey defenceman has 13 career points.,Who has 13 career points?,What is the connection between American ice hockey defenceman and the 13 career ponits? ,How many career points does American ice hockey defenceman have?,Athlete
121,Zach Trotman has 13 career points.,The American ice hockey player has many career points?,Who has many career points?,What is the relation between the american ice hockey player and the career points? ,How many career points does the American ice hockey player has?,Athlete
122,"The place of burial of Czesław Kuśmirek is Lipowa Street Cemetery, Lublin.","Polish athletics competitor is buried in a cemetery in Lublin, Poland.","Who  is buried in a cemetery in Lublin, Poland?","What does  Polish athletics competitor do in a cemetery in Lublin, Poland?",Where is Polish athletics competitor buried in?,Athlete
123,"The place of burial of Czesław Kuśmirek is Lipowa Street Cemetery, Lublin.",The place of burial of the polish athletics competitor is in Poland,Whose place of burial is in Poland?,What has the place of burial of the polish athletics competitor to do with Poland?,Where is the place of the burial of the polish athletics competitor?,Athlete
124,Waltraud Kretzschmar's spouse is Peter Kretzschmar.,German handball player's spouse is East German handball player.,Who is  East German handball player's spouse?,What is the relation between German handball player and East German handball player?,Whos is German handball player's spouse?,Athlete
125,Waltraud Kretzschmar's spouse is Peter Kretzschmar.,The german handball player's spouse is an east German handball player,Who is the partner of the east German handball player?,What is the relation between the german handball player and the east german handball player?,Who is the spouse of the german handball player?,Athlete
126,Kanako Otsuji is a member of the House of Representatives of Japan.,Japanese politician is an elected Representative of the  House of Representatives of Japan.,Who is is an elected Representative of the House of Representatives of Japan?,What does Japanese politician do in the  House of Representatives of Japan?,Where Japanese politician a member in?,Athlete
127,Kanako Otsuji is a member of the House of Representatives of Japan.,The Japanese politican  is a member of elected Representative of the  House of Representatives of Japan,Who  is a member of elected Representative of the  House of Representatives of Japan?,What has the Japanese politican to do with the Representatives of the House of Representatives of Japan? ,Where is the Japanese politican part of? ,Athlete
128,Peder Lunde is the father of Peder Lunde.,Sailor is the father of Olympic sailor.,Who is the father of Olympic sailor?,What is the family relation between the sailor and the Olympic sailor?,Who is the son of the sailor?,Athlete
129,Peder Lunde is the father of Peder Lunde.,A sailor is the father of an Olympic sailor,Who is the father of an Olympic sailor?,What is the relation of the sailor and the olympic sailor?,Who is the son of the sailor?,Athlete
130,Daniel Quirk died in an accident.,"American professional wrestler died in an unforeseen and unplanned event or circumstance, often with a negative outcome.","Who died in an unforeseen and unplanned event or circumstance, often with a negative outcome?","What did American professional wrestler do in an   unforeseen and unplanned event or circumstance, often with a negative outcome?",How did  American professional wrestler die?,Athlete
131,Daniel Quirk died in an accident.,"The american professional wrestler died in a unforeseen and unplanned event or circumstance, often with a negative outcome ","Who died in a unforeseen and unplanned event or circumstance, often with a negative outcome",What happened to the american professional wrestler at the unforeseen and unplanned event or circumstance?,How does the american professional wrestler died?,Athlete
132,Loriana Kuka is a member of the ethnic group of Albanians in Kosovo., Kosovo judoka is a member of the ethnic group.,Who is a member of the ethnic group?,What does Kosovo judoka do in the ethnic group?,Whre is Kosovo judoka a member in?,Athlete
133,Loriana Kuka is a member of the ethnic group of Albanians in Kosovo.,The Kosovo judoka  is a member an the ethnic group ,Who is a member an the ethnic group ?,What does the Kosovo judoka do at the ethnic group?,Where is the Kosovo judoka part of?,Athlete
134,Nigel Gleghorn is the coach of the Newcastle Town F.C.,English footballer (born 1962) is the coach of the  football club.,Who is the coach of the football club?,What does English footballer (born 1962) do in football club?,Where does English footballer (born 1962) coach?,Athlete
135,Nigel Gleghorn is the coach of the Newcastle Town F.C.,An English footballer is the coach of a football club,Who is the coach of a football club?,What does the english footballer do at the football club?,Where is the English footballer coaching?,Athlete
136,Tie Ya Na has a ranking of 40.,Chinese table tennis player has a ranking of 40.,Who has a ranking of 40?,what does,What's Chinese table tennis player ranking?,Athlete
137,Tie Ya Na has a ranking of 40.,The Chinese table tennis player has a great ranking,Who has a great ranking?,What is the relation between the chinese table tennis player and the ranking? ,In which rank is the chinese table tennis player?,Athlete
138,Kirk Muller has 357 goals in his career.,Canadian ice hockey player has 357 goals in his career.,Who has 357 goals in his career?,What does Canadian ice hockey player have to do with 357 goals?,How many goals does Canadian ice hockey player have?,Athlete
139,Kirk Muller has 357 goals in his career.,The canadian ice hockey player has so much goals in his career,Who has so much goals in his career?,What is the relation of the canadian ice hockey player and so much goals?,How many goals does the canadian ice hockey player has in his career?,Athlete
140,Hugo Ayala has 1 match played/races/starts., Mexican association football player has 1 match played/races/starts.,Who has 1 match played/races/starts?,What does Mexican association football player have to do with1 match played/races/starts? ,How many matches played/races/starts does Mexican association football player have?,Athlete
141,Hugo Ayala has 1 match played/races/starts.,The Mexican association football player has a single game done,Who has a single game done?,What is relation between the mexican association football player and a single game,How many games has the mexican association football player done?,Athlete
142,Eduardo Bonvallet died from hanging., Chilean footballer (1955-2015) died from a death by suspension of a person by a noose or ligature around the neck.,Who died from a death by suspension of a person by a noose or ligature around the neck?,What happened to Chilean footballer (1955-2015) in death by suspension of a person by a noose or ligature around the neck?,How did Chilean footballer (1955-2015) die?,Athlete
143,Eduardo Bonvallet died from hanging.,A Chilean footballer died by suspension of a person by a noose or ligature around the neck,Who died by suspension of a person by a noose or ligature around the neck,What links a Chilean footballer with the suspension of a person by a noose or ligature around the neck,How did the Chilean footballer die?,Athlete
144,Dave MacLeod lives in Glasgow., British rock climber lives in a city in Scotland.,Who ives in a city in Scotland?,What does British rock climber do in a city in Scotland?,Where does British rock climber live?,Athlete
145,Dave MacLeod lives in Glasgow.,A British rock climber lives in Scotland,Who lives in Scotland?,What does a british rock climber do in Scotland?,Where does the british rock climber lives?,Athlete
146,Britany Miller was drafted by Detroit Shock.,American basketball player was drafted by Women's basketball team.,Who was drafted by Women's basketball team?,What happened to American basketball player in Women's basketball team?,Where was American basketball player drafted in?,Athlete
147,Britany Miller was drafted by Detroit Shock.,An american basketball player was drafted by the women's basketball team,Who was drafted by the women's basketball team,What is the relation between the american basketball player and the women's basketball team,Where was drafted the american basketball player?,Athlete
148,Iskander Hachicha is a child of Mohamed Hachicha.,Tunisian judoka is a child of Tunisian judoka.,Who is a child of Tunisian judoka?,What is the relation between Tunisian judoka and Tunisian judoka?,Who's child is Tunisian judoka?,Athlete
149,Iskander Hachicha is a child of Mohamed Hachicha.,A Tunisian judoka is a child of a Tunisian judoka,Who is a child of a Tunisian judoka,What is the relation between the tunisian judoka and the tunisian judoka?,Who is the parent of a tunisian judoka?,Athlete
