,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
18,Sara Forbes Bonetta is a relative of Queen Victoria.,Who is Sara Forbes Bonetta a relative of?,What is Sara Forbes Bonetta's status?,Who is a relative of Queen Victoria?,Politician,The British monarch has a relative in West- Africa.,Who has a relative in West Africa?,What does the British monarch has in West Africa?,Where does the British monarch has a relative?,Politician
19,Sara Forbes Bonetta is a relative of Queen Victoria.,Who is Sara Forbes Bonetta a relative of?,What is Sara Forbes Bonetta's status?,Who is a relative of Queen Victoria?,Politician,A person is a relative of a person.,Who is a relative of a person?,What is the relation between two people?,Who is a person relative to?,Politician
20,Jaime C. Lopez is different from Jaime C. Lopez.,Who is different from Jaime C. Lopez?,How does Jaime C. Lopez compare to Jaime C. Lopez?,Who is different from Jaime C. Lopez?,Politician,Filipine politician is different from Spanish painter.,Who is different from Spanish painter?,What is Filipine politician compared with Spanish painter?,With what is different the Filipine politician?,Politician
21,Jaime C. Lopez is different from Jaime C. Lopez.,Who is different from Jaime C. Lopez?,How does Jaime C. Lopez compare to Jaime C. Lopez?,Who is different from Jaime C. Lopez?,Politician,A person is different from a person.,What is different from a person?,What is the relation between two people?,What is a person different from?,Politician
22,Alfons Casamajó Carrera is a second family name in Spanish.,What is the second family name in Spanish?,What is Alfons Casamajó Carrera?,What is the second family name of Alfons Casamajo?,Politician,Catalan politician has a family name.,What a Catalan politician has?,What is the relationship between Catalan politician and family name?,Who has a family name?,Politician
23,Alfons Casamajó Carrera is a second family name in Spanish.,What is the second family name in Spanish?,What is Alfons Casamajó Carrera?,What is the second family name of Alfons Casamajo?,Politician,-,-,-,-,Politician
24,Chikara Higashi's name in kana is ひがし ちから.,Who is the name of the kana singer?,What is Chikara Higashi's name in kana?,What is Chikara Higashi's name in kana?,Politician,Japanese politician in kana is called ひがし ちから.,Who is called ひがし ちから?,What is the relationship between Japanese politician and ひがし ちから?,How is called the Japanese politician?,Politician
25,Chikara Higashi's name in kana is ひがし ちから.,Who is the name of the kana singer?,What is Chikara Higashi's name in kana?,What is Chikara Higashi's name in kana?,Politician,A person's name in kana is a name.,What is a name?,What is the relation between a person and a name?,What is a person's name in kana?,Politician
26,Charles Curtis Craig is a member of the British Army.,Who is a member of the British Army?,What branch of the British government is Craig a member of?,What military unit is Charles Curtis Craig a member of?,Politician,A politician is a member of Army.,Who is a member of an Army?,What is the relationship of a politician and Army?,What is a politician member of?,Politician
27,Charles Curtis Craig is a member of the British Army.,Who is a member of the British Army?,What branch of the British government is Craig a member of?,What military unit is Charles Curtis Craig a member of?,Politician,A person is a member of an army.,Who is a member of an army?,What is the relation between a person and an army?,What is a person a member of?,Politician
28,Pinkie C. Wilkerson died in an accident.,Who died in an accident?,What was Pinkie Wilkerson's cause of death?,What caused Pinkie C. Wilkerson's death?,Politician,Politician died from an accident.,Who died from an accident?,What is the relationship between the politician and accident?,How a politician died?,Politician
29,Pinkie C. Wilkerson died in an accident.,Who died in an accident?,What was Pinkie Wilkerson's cause of death?,What caused Pinkie C. Wilkerson's death?,Politician,A person died in an event.,Who died in an event?,What is the relation between a person and an event?,Where did a person die?,Politician
30,Boris Zmejkovski is a member of the ethnic group of Macedonians.,Who is a member of the ethnic group of Macedonians?,What group is Boris Zmejkovski a member of?,Boris Zmejkovski is a member of what ethnic group?,Politician,A politician is member of an ethnic group.,Who is member of an ethnic group?,What is the relationship between a politician and an ethnic group?,What is a politician member of?,Politician
31,Boris Zmejkovski is a member of the ethnic group of Macedonians.,Who is a member of the ethnic group of Macedonians?,What group is Boris Zmejkovski a member of?,Boris Zmejkovski is a member of what ethnic group?,Politician,A person is a member of an ethnic group. ,Who is a member of an ethnic group?,What is the relation between a person and an ethnic group?,What is a person a member of?,Politician
32,Marusan's birth name is 菅原 博文.,What is Marusan's birth name?,What is Marusan's first name?,What is Marusan's birth name?,Politician,The politician name is 菅原 博文,Who's name is 菅原 博文?,What is the relationship between the politician and 菅原 博文?,What is the name of politician?,Politician
33,Marusan's birth name is 菅原 博文.,What is Marusan's birth name?,What is Marusan's first name?,What is Marusan's birth name?,Politician,A person's birth name is a name.,What is a name?,What is the relation between a person and a name?,What is a person's birth name?,Politician
34,Abelardo Colomé Ibarra is a general de corps d'armée.,Who is the general de corps d'armée?,What is Abelardo Colomé Ibarra's rank?,What is Abelardo Colomé Ibarra's job title?,Politician,Cuban politician has a rank in the French Army.,Who has a rank in the French Army?,What is the relationship between the Cuban politician and the French Army?,Where does the Cuban politician has a rank?,Politician
35,Abelardo Colomé Ibarra is a general de corps d'armée.,Who is the general de corps d'armée?,What is Abelardo Colomé Ibarra's rank?,What is Abelardo Colomé Ibarra's job title?,Politician,A person has a military rank.,Who has a military rank?,What is the relation between a person and a military rank?,What is the military rank of a person?,Politician
36,Paul Robeson died from a stroke.,Who died from a stroke?,What was the cause of death of Paul Robeson?,What caused Paul Robeson to die?,Politician,The American singer died from a stroke.,Who died from a stroke?,What is the relationship between the American singer and the stroke?,From what died the American singer?,Politician
37,Paul Robeson died from a stroke.,Who died from a stroke?,What was the cause of death of Paul Robeson?,What caused Paul Robeson to die?,Politician,A person died of a problem.,Who died of a problem?,What is the relation between a person and a problem?,What did a person die from?,Politician
38,Beate Reich was a participant in the 2004 German presidential election.,Who was a participant in the 2004 German presidential election?,What was Beate Reich's role in the 2004 German presidential election?,What election was Beate Reich a participant in?,Politician,A German politician was a participant in election.,Who was a participant in election?,What is the relationship between the German politician and election?,Where was the German politician participant?,Politician
39,Beate Reich was a participant in the 2004 German presidential election.,Who was a participant in the 2004 German presidential election?,What was Beate Reich's role in the 2004 German presidential election?,What election was Beate Reich a participant in?,Politician,A person is a participant in an election.,Who is a participant in an election?,What is the relation between a person and an election?,What did a person participate in?,Politician
40,Eldhose Kunnappilly has an academic degree of Bachelor of Education.,Who holds a Bachelor of Education?,What is Eldhose Kunnappilly's degree?,What degree does Eldhose Kunnappilly hold?,Politician,The indian politician has undergraduate professional degree.,Who has a  undergraduate professional degree?,What is the relationship between the Indian politician and undergraduate professional degree?,What does the Indian politician have?,Politician
41,Eldhose Kunnappilly has an academic degree of Bachelor of Education.,Who holds a Bachelor of Education?,What is Eldhose Kunnappilly's degree?,What degree does Eldhose Kunnappilly hold?,Politician,A person has an academic degree.,Who has an academic degree?,What is the relation between a person and an academic degree?,What is the academic degree of a person?,Politician
42,Giorgio Contarini is a member of the Contarini family.,Who is a member of the Contarini family?,What is Giorgio Contarini a member of?,What family is Giorgio Contarini a member of?,Politician,A senator is member of a founding family.,Who is a member of a founding family?,What is the relationship between the senator and a founding family?,What is the senator member of?,Politician
43,Giorgio Contarini is a member of the Contarini family.,Who is a member of the Contarini family?,What is Giorgio Contarini a member of?,What family is Giorgio Contarini a member of?,Politician,A person is a member of a family.,Who is a member of a family?,What is the relation between a person and a family?,What is a person a member of?,Politician
44,Nelson Taylor was involved in the American Civil War.,Who was involved in the American Civil War?,What was Nelson Taylor involved in?,Nelson Taylor was involved in what war?,Politician,A general was involved in Civil War.,Who was involved in Civil War?,What is the relationship between a general and Civil War?,Where a general was involved?,Politician
45,Nelson Taylor was involved in the American Civil War.,Who was involved in the American Civil War?,What was Nelson Taylor involved in?,Nelson Taylor was involved in what war?,Politician,A person is involved in a war.,Who is involved in a war?,What is the relation between a person and a war?,What is a person involved in?,Politician
46,The noble title of Mohammed VI is king.,What is the noble title of the ruler?,What is the title of Mohammed VI?,What is the noble title of Mohammed VI?,Politician,King of Morocco is king.,Who is king?,What is the relationship between the King of Morocco and king?,What is the King of Morocco?,Politician
47,The noble title of Mohammed VI is king.,What is the noble title of the ruler?,What is the title of Mohammed VI?,What is the noble title of Mohammed VI?,Politician,The noble title of a person is a title.,What is a title?,What is the relation between a person and a title?,What is the noble title of a person?,Politician
48,Borja Cabezón Royo has 2149 followers on social media.,Who has 2149 followers on social media?,How many followers does Borja Cabezón Royo have?,How many followers does Borja Cabezón Royo have?,Politician,Spanish politician has 2149 followers.,Who has 2149 followers?,What is the relationship between the Spanish politician and 2149 followers?,How many followers does the Spanish politician have?,Politician
49,Borja Cabezón Royo has 2149 followers on social media.,Who has 2149 followers on social media?,How many followers does Borja Cabezón Royo have?,How many followers does Borja Cabezón Royo have?,Politician,A person has a number of followers on social media.,What has a number of followers on social media?,What is the relation between a person and a number of followers?,How many followers on social media does a person have?,Politician
50,William Henry Irving Hayes was a significant event in the 1905 Massachusetts legislature.,What was a significant event in the 1905 Massachusetts legislature?,What was William Henry Irving Hayes?,In what year was William Henry Irving Hayes a significant event?,Politician,Us Politician was a significant event in 1905 legislature,Who was a significant event in 1905 legislature?,What is the impact of Us politician in 1905 legislature.,Where was US politician significant?,Politician
51,William Henry Irving Hayes was a significant event in the 1905 Massachusetts legislature.,What was a significant event in the 1905 Massachusetts legislature?,What was William Henry Irving Hayes?,In what year was William Henry Irving Hayes a significant event?,Politician,A person is a significant event in a legislature.,What is a significant event in a legislature?,What is the relation between a person and a legislature?,Where is a person a significant in?,Politician
52,Alberto Muñoz Vernaza's religion is Catholicism.,Whose religion is Catholicism?,,,Politician,Ecuatorian politician is Catholic.,Who is Catholic?,What is the relationship between Ecuatorian politician and Catholic?,What is Ecuatorian politician?,Politician
53,Alberto Muñoz Vernaza's religion is Catholicism.,Whose religion is Catholicism?,,,Politician,A person's religion is a religion.,What is a religion?,What is the relation between a person and a religion?,What is a person's religion?,Politician
54,The writing language of Feng Ye is Classical Chinese.,What is the writing language of?,What is the language of Feng Ye?,What is the writing language of Feng Ye?,Politician,Ming dynasty person writes Classical Chinnese,Who writes Classical Chinnese?,What is the relationship between Ming dynasty person and Classical Chinnese.,What language does a Ming Dynasty person write?,Politician
55,The writing language of Feng Ye is Classical Chinese.,What is the writing language of?,What is the language of Feng Ye?,What is the writing language of Feng Ye?,Politician,The writing language of a person is a language.,What is a language?,What is the relation between a person and a language?,What is the writing language of a person?,Politician
56,Vasiliy Williams is employed by the Russian State Agricultural University.,Who is employed by the Russian State Agricultural University?,What is Vasiliy Williams' job title?,What institution does Vasiliy Williams work for?,Politician,Russian agronomist is emplyed by Agricultural University?,Who is employed b Agricultural University?,What is the Russian agronomist in Agricultural University?,Where is Russian agronomist employed?,Politician
57,Vasiliy Williams is employed by the Russian State Agricultural University.,Who is employed by the Russian State Agricultural University?,What is Vasiliy Williams' job title?,What institution does Vasiliy Williams work for?,Politician,A person is employed by a university.,Who is employed by a university?,What is the relation between a person and a university?,Where is a person employed?,Politician
58,Richard Descoings is buried at Père Lachaise Cemetery.,Who is buried at Père Lachaise Cemetery?,Where is Richard Descoings buried?,Where is Richard Descoings buried?,Politician,A French official is buried at Cemetery.,Who is burid at Cemetery?,What happens for a French official in Cemetery?,Where is a French official buried?,Politician
59,Richard Descoings is buried at Père Lachaise Cemetery.,Who is buried at Père Lachaise Cemetery?,Where is Richard Descoings buried?,Where is Richard Descoings buried?,Politician,A person is buried in a cemetery.,Who is buried in a cemetery?,What is the relation between a person and a cemetery?,Where is a person buried?,Politician
60,Henry Brouncker's mother is Ursula Yate.,Who is Ursula Yate?,What is Ursula Yate's occupation?,Who is Henry Brouncker's mother?,Politician,A politician has a mother.,Who has a mother?,What does the politician have to do with mother?,What does the politician have?,Politician
61,Henry Brouncker's mother is Ursula Yate.,Who is Ursula Yate?,What is Ursula Yate's occupation?,Who is Henry Brouncker's mother?,Politician,A person's mother is a person.,What is a person?,What is the relation between two people?,Who is a person's mother?,Politician
62,Keith Falconer Fletcher lives in Massachusetts.,Who lives in Massachusetts?,Where does Keith Falconer Fletcher live?,Where does Keith Falconer Fletcher live?,Politician,US politician lives in USA.,Who lives in USA?,What does a politician do in USA?,Where does a politician live?,Politician
63,Keith Falconer Fletcher lives in Massachusetts.,Who lives in Massachusetts?,Where does Keith Falconer Fletcher live?,Where does Keith Falconer Fletcher live?,Politician,A person lives in a state.,Who lives in a state?,What is the relation between a person and a state?,Where does a person live?,Politician
64,Joel Anderson is a member of the American Legislative Exchange Council.,Who is a member of the American Legislative Exchange Council?,What is Joel Anderson's position in the American Legislative Exchange Council?,What is Joel Anderson a member of?,Politician,An American politician is a member of a group,who is a member of a group?,What does an American politician do in a group?,What is an American politician member of?,Politician
65,Joel Anderson is a member of the American Legislative Exchange Council.,Who is a member of the American Legislative Exchange Council?,What is Joel Anderson's position in the American Legislative Exchange Council?,What is Joel Anderson a member of?,Politician,A person is a member of a group.,Who is a member of a group?,What is the relation between a person and a group?,What is a person a member of?,Politician
66,François Garnier's native language is French.,Who speaks French?,What is François Garnier's native language?,What is Garnier's native language?,Politician,A French politician speaks French language,Who speak French language?,What does a French politician do?,What language does a French politician speak?,Politician
67,François Garnier's native language is French.,Who speaks French?,What is François Garnier's native language?,What is Garnier's native language?,Politician,A person's native language is a language.,What is a language?,What is the relation between a person and a language?,What is a person's native language?,Politician
68,Heryani Yuhana's spouse is Tubagus Chasan Sochib.,Who is the spouse of Tubagus Chasan Sochib?,What is the name of Heryani Yuhana's partner?,Who is Heryani Yuhana's spouse?,Politician,An Indonesian politician is married to an Indonesian politician,Who is married with an Indonesian politician?, What is the relationship between two Indonesian politicians,With whom is married an Indonesian politician?,Politician
69,Heryani Yuhana's spouse is Tubagus Chasan Sochib.,Who is the spouse of Tubagus Chasan Sochib?,What is the name of Heryani Yuhana's partner?,Who is Heryani Yuhana's spouse?,Politician,A person's spouse is a person.,What is a person?,What is the relation between two people?,Who is a person's spouse?,Politician
70,Zhang Ying is the father of Zhang Tingtuan.,Who is the father of Zhang Ying?,What is Zhang Ying's occupation?,Who is the father of Zhang Tingtuan?,Politician,Qing dynasty person has as father a Qing dynasty politician,Who has as father a Qing dynasty politician?,What is the relationship between Qind dynasty person and Qind dynasty politician?,What has as a father a Qing dynasty person ?,Politician
71,Zhang Ying is the father of Zhang Tingtuan.,Who is the father of Zhang Ying?,What is Zhang Ying's occupation?,Who is the father of Zhang Tingtuan?,Politician,A person is the father of a person.,What is a person?,What is the relation between two people?,Who is a person's father?,Politician
72,Daniele Manin is described by source in Nouvelle Biographie Générale.,Who is described by source in Nouvelle Biographie Générale?,How is Daniele Manin described in Nouvelle Biographie Générale?,Where is Daniele Manin described?,Politician,Italian politician is described in a Biographie.,Who is described in a Biographie?,What is the Italian politician in a Biographie?,Where is an Italian politician described?,Politician
73,Daniele Manin is described by source in Nouvelle Biographie Générale.,Who is described by source in Nouvelle Biographie Générale?,How is Daniele Manin described in Nouvelle Biographie Générale?,Where is Daniele Manin described?,Politician,A person is described by source in a book.,Who is described by source in a book?,What is the relation between a person and a book?,Where is a person described by source?,Politician
74,"Robert, Prince of Taranto's sibling is Philip of Anjou, Despot of Rhomania.",Who is Philip of Anjou?,What is Philip of Anjou's status?,,Politician,A son of a Prince has a sibling a Despot of Rhomania.,Who has a sibling as Despot of Rhomania?,what does a son of a Prince have as Despot of Rhomania?,Where does a son of a Prince has a sibling?,Politician
75,"Robert, Prince of Taranto's sibling is Philip of Anjou, Despot of Rhomania.",Who is Philip of Anjou?,What is Philip of Anjou's status?,,Politician,A person's sibling is a person.,What is a person?,What is the relation between two people?,Who is a person's sibling?,Politician
76,Andrew Griffith is a candidate in the 2019 United Kingdom general election.,Who is the candidate for the 2019 general election?,What is Andrew Griffith's goal in the 2019 general election?,What election is Andrew Griffith a candidate for?,Politician,British politician and Conservative MP is a candidate  in the general election,Who is a candidate in the general election?,What is the British politician and Conservative MP in the general election?,Where is British politician and Conservative MP a candidate?,Politician
77,Andrew Griffith is a candidate in the 2019 United Kingdom general election.,Who is the candidate for the 2019 general election?,What is Andrew Griffith's goal in the 2019 general election?,What election is Andrew Griffith a candidate for?,Politician,A person is a candidate in an election.,Who is a candidate in an election?,What is the relation between a person and an election?,What is a person a candidate in?,Politician
78,Decius is a child of Hostilian.,What is the name of the child of Hostilian?,What is Decius's status?,Who is Decius a child of?,Politician,Roman Emperor is a child of a Roman emperor.,Who is a child of a Roman emperor?,What is a roman emperor to a roman emperor?,What is a Roman emperor a child of?,Politician
79,Decius is a child of Hostilian.,What is the name of the child of Hostilian?,What is Decius's status?,Who is Decius a child of?,Politician,A person is a child of a person.,What is a person?,What is the relation between two people?,Who is the child of a person?,Politician
80,Antonio de Capmany y Montpalau work in Madrid.,Who work in Madrid?,Where do Antonio de Capmany and Montpalau work?,Where do Antonio de Capmany and Montpalau work?,Politician,Spanish historian works in Spain,Who works in Spain?,What does the Spanish historian do in Spain?,Where does the spanish historian works?,Politician
81,Antonio de Capmany y Montpalau work in Madrid.,Who work in Madrid?,Where do Antonio de Capmany and Montpalau work?,Where do Antonio de Capmany and Montpalau work?,Politician,A person works in a city.,Who works in a city?,What is the relation between a person and a city?,Where does a person work?,Politician
82,Charles Suran is a native speaker of the English language.,Who speaks English?,What is Charles Suran's first name?,Who speaks English?,Politician,French politician speaks English,Who speaks English?,What does a French politician do with English?,What does a French politician speak?,Politician
83,Charles Suran is a native speaker of the English language.,Who speaks English?,What is Charles Suran's first name?,Who speaks English?,Politician,A person is a native speaker of a language.,Who is a native speaker of a language?,What is the relation between a person and a language?,What is the native language of a person?,Politician
84,Xavier Mougin was awarded the Knight of the Legion of Honour.,Who was awarded the Knight of the Legion of Honour?,What was Xavier Mougin awarded?,What award did Xavier Mougin receive?,Politician,Politician was awarded first rank.,Who was awarded first rank?,What was a politician in first rank?,What was the politician awarded?,Politician
85,Xavier Mougin was awarded the Knight of the Legion of Honour.,Who was awarded the Knight of the Legion of Honour?,What was Xavier Mougin awarded?,What award did Xavier Mougin receive?,Politician,A person is awarded an honour.,Who is awarded an honour?,What is the relation between a person and an honour?,What honour is a person awarded?,Politician
86,Arnold McCallum died in Digby.,Who died in Digby?,Where did Arnold McCallum die?,Where did Arnold McCallum die?,Politician,Canadian politician died in Canada.,Who died in Canada?,What happened to Canadian politician in Canada?,Where did the Canadian politician die?,Politician
87,Arnold McCallum died in Digby.,Who died in Digby?,Where did Arnold McCallum die?,Where did Arnold McCallum die?,Politician,A person died in a town.,Who died in a town?,What is the relation between a person and a town?,Where did a person die?,Politician
88,Kumari Balasuriya was educated at the Musaeus College.,Who was educated at the Musaeus College?,Where was Kumari Balasuriya educated?,Where was Kumari Balasuriya educated?,Politician,Kumari Balasuriya was educated in Sri Lanka.,Who was educated in Sri Lanka?,What was Kumari Balasuriya in Sri Lanka?,Where was Kumari Balasuriya educated?,Politician
89,Kumari Balasuriya was educated at the Musaeus College.,Who was educated at the Musaeus College?,Where was Kumari Balasuriya educated?,Where was Kumari Balasuriya educated?,Politician,A person is educated at a school.,Who is educated at a school?,What is the relation between a person and a school?,Where is a person educated?,Politician
90,Kazuo Shinsaka died on 28/12/1991.,Who died on 28/12/1991?,,When did Kazuo Shinsaka die?,Politician,Japanese politician died on 28/12/1991.,Who died in 28/12/1991?,What happened to Japanese politician on 28/12/1991?,When did the Japanese politician die?,Politician
91,Kazuo Shinsaka died on 28/12/1991.,Who died on 28/12/1991?,,When did Kazuo Shinsaka die?,Politician,A person dies on a time.,Who died on a time?,What is the relation between a person and a time?,When did a person die?,Politician
92,Duchess Donata of Mecklenburg was born in Kiel.,Who was born in Kiel?,Where was Duchess Donata born?,Where was Duchess Donata born?,Politician,A German noble was born in Germany.,Who was born in Germany?,What happened to a German noble in Germany?,Where did a German noble born?,Politician
93,Duchess Donata of Mecklenburg was born in Kiel.,Who was born in Kiel?,Where was Duchess Donata born?,Where was Duchess Donata born?,Politician,A person is born in a city.,Who is born in a city?,What is the relation between a person and a city?,Where was a person born?,Politician
94,Dan A Kimball is a member of the Democratic Party.,Who is a member of the Democratic Party?,What is Kimball's political affiliation?,What party is Dan A Kimball a member of?,Politician,U.S. Secretary of the Navy is a member of political party.,Who is member of a political party?,What does a U.S. Secretary of the Navy do in a political party?,What is U.S. Secretary of the Navy a member of?,Politician
95,Dan A Kimball is a member of the Democratic Party.,Who is a member of the Democratic Party?,What is Kimball's political affiliation?,What party is Dan A Kimball a member of?,Politician,A person is a member of a political party.,Who is a member of a political party?,What is the relation between a person and a political party?,What is a person a member of?,Politician
96,Masnada is the family name of Christian Masnada.,What is the family name of Masnada?,What is Masnada?,What is the family name of Christian Masnada?,Politician,Christian Masnada has a family name Masnadaa,Who has a family name Masnada ?,What is the relationship between Christian Masnada and family name?,What has Christian Masnada?,Politician
97,Masnada is the family name of Christian Masnada.,What is the family name of Masnada?,What is Masnada?,What is the family name of Christian Masnada?,Politician,A name is the family name of a person.,What is a name?,What is the relation between a person and a name?,What is a person's family name?,Politician
98,"Philippe Boisson speaks, writes or signs French.","Who speaks, writes or signs French?",,What language does Philippe Boisson speak?,Politician,"Philippe Boisson speaks,writes or signs French","Who speaks, writes of signs French?",what is the relationship between Philippe Boisson and French?,"What does Philippe Boisson speak, write or sign?",Politician
99,"Philippe Boisson speaks, writes or signs French.","Who speaks, writes or signs French?",,What language does Philippe Boisson speak?,Politician,"A person speaks, writes or signs a language.","Who speaks, writes or signs a language?",What is the relation between a person and a language?,"What language does a person speak, write or sign?",Politician
100,Giovanni I da Varano's given name is Giovanni.,What is the given name of Giovanni?,What is Giovanni I da Varano's real name?,What is Giovanni I da Varano's given name?,Politician,Giovanni I da Varano has a male given name.,who has a male given name?,What is the relationship between Giovanni I da Varano and male given name.,what does Giovanni I da Varano have?,Politician
101,Giovanni I da Varano's given name is Giovanni.,What is the given name of Giovanni?,What is Giovanni I da Varano's real name?,What is Giovanni I da Varano's given name?,Politician,A person's given name is a name.,What is a name?,What is the relation between a person and a name?,What is a person's birth name?,Politician
102,Munawir of Negeri Sembilan was born on 22/03/1922.,Who was born on 22/03/1922?,,When was Munawir born?,Politician,Munawir of Negeri Sembilan was born on 22/03/1922.,who was born on 22/03/1922?,What happened to Munawir of Negeri Sembilan on 22/03/1922?,When was Munawir of Negeri Sembilan born?,Politician
103,Munawir of Negeri Sembilan was born on 22/03/1922.,Who was born on 22/03/1922?,,When was Munawir born?,Politician,A person is born on a time.,Who is born in a time?,What is the relation between a person and a time?,When is a person born?,Politician
104,Goffredo dell'Aquila is a citizen of the Kingdom of Naples.,Who is a citizen of the Kingdom of Naples?,What country is Goffredo dell'Aquila a citizen of?,What is Goffredo dell'Aquila a citizen of?,Politician,Goffredo dell'Aquila is a citizen of Italy.,Who is a citizen of Italy?,What is the relationship between Goffredo dell'Aquila and Italy?,Where is Goffredo dell'Aquila citizen?,Politician
105,Goffredo dell'Aquila is a citizen of the Kingdom of Naples.,Who is a citizen of the Kingdom of Naples?,What country is Goffredo dell'Aquila a citizen of?,What is Goffredo dell'Aquila a citizen of?,Politician,A person is a citizen of a state.,Who is a citizen of a state?,What is the relation between a citizen and a state?,What state is a person a citizen of?,Politician
106,Arie de Boo's sex or gender is male.,What is the gender of the person who is a male?,What is Arie de Boo's gender?,What is Arie de Boo's gender?,Politician,Dutch politician is male.,Who is male?,what is the relationship between Dutch politician and male?,What is Dutch politician?,Politician
